Fecha procesado,2026-04-15 16:51:47
Fecha y Hora,2026-04-15 15:19:13
Medidor,VGM_GAUSSMETER
Firmware,AL-PRG-0VGM-01 4.01
Muestras por punto,5
T estabilizacion (s),2.5
Velocidad (mm/min),1000
Sigma (automatico),1.0
Archivo origen,Measurement_Parallelepiped_150x150x150_15.csv

X,Y,Z,Time (s),x axis (gauss),y axis (gauss),z axis (gauss),Magnitude (gauss)
-75.0,-75.0,-75.0,0.75,-32.85480350398293,466.4470130997343,-15.521301293892838,467.85701309973444
-60.0,-75.0,-75.0,0.75,-40.81163466053649,461.7383653394635,-18.882179547381984,463.91836533946343
-45.0,-75.0,-75.0,0.75,-37.487890881874996,464.09748755732284,-14.050877782140523,465.81803244416847
-30.0,-75.0,-75.0,0.75,-35.352986900265535,465.99381420791843,-12.710000000000003,467.5038142079184
-15.0,-75.0,-75.0,0.75,-34.09706357422205,467.49358226159865,-12.585923326043478,468.9035822615986
0.0,-75.0,-75.0,0.75,-33.074571086314435,468.10973753396195,-12.651947601062115,469.439737533962
15.0,-75.0,-75.0,0.75,-31.872179547381982,467.9084662884386,-12.652442013420032,469.1584662884386
30.0,-75.0,-75.0,0.75,-30.037013099734473,467.0918466520869,-13.047326040260096,468.2318466520869
45.0,-75.0,-75.0,0.75,-27.384621560802017,465.78789088187494,-14.514339139994565,466.81142266898604
60.0,-75.0,-75.0,0.75,-24.07597380053106,464.7275579865799,-20.25582237706832,465.78755798657994
75.0,-75.0,-75.0,0.75,-21.831634660536483,465.397063574222,-34.035630811635876,467.1435822615986
75.0,-60.0,-75.0,0.75,-21.83244201342003,464.59457108631443,-19.709021268884314,465.5210392992034
60.0,-60.0,-75.0,0.75,-25.978365339463508,466.2867306789269,-13.363269321072977,467.19673067892694
45.0,-60.0,-75.0,0.75,-29.36509601839053,467.76805239893787,-11.945166447647512,468.8375075120923
30.0,-60.0,-75.0,0.75,-31.489999999999995,468.76516644764746,-12.24706357422205,469.97516644764744
15.0,-60.0,-75.0,0.75,-32.69005047448758,469.30103929920335,-12.804076673956521,470.6110392992034
0.0,-60.0,-75.0,0.75,-33.25,469.2848840268401,-12.983531787111025,470.63488402684004
-15.0,-60.0,-75.0,0.75,-33.69397572498136,468.86701309973444,-12.629455113154505,470.23701309973444
-30.0,-60.0,-75.0,0.75,-34.40402619946894,467.94090830185866,-12.041039299203412,469.3509083018586
-45.0,-60.0,-75.0,0.75,-35.92999999999999,466.4995055876421,-11.855923326043477,468.02950558764206
-60.0,-60.0,-75.0,0.75,-38.68054488684549,464.26189712657447,-13.485973800531058,466.0618971265745
-75.0,-60.0,-75.0,0.75,-42.3083653394635,461.3302824208074,-19.893410883366464,463.68973753396193
-75.0,-45.0,-75.0,0.75,-39.2494551131545,463.5643391399946,-15.501947601062113,465.4743391399946
-60.0,-45.0,-75.0,0.75,-36.42217954738198,466.146730678927,-12.54,467.72727556577246
-45.0,-45.0,-75.0,0.75,-34.432986900265526,467.63896070079653,-12.268698234758538,469.0589607007966
-30.0,-45.0,-75.0,0.75,-33.43597380053105,468.62402619946886,-13.07,469.99402619946886
-15.0,-45.0,-75.0,0.75,-33.09831486497593,469.19592332604344,-13.941897126574533,470.56537843919784
0.0,-45.0,-75.0,0.75,-32.955973800531055,469.46493450132766,-14.34402619946894,470.8349345013276
15.0,-45.0,-75.0,0.75,-32.76597380053105,469.46999999999997,-14.154026199468941,470.81999999999994
30.0,-45.0,-75.0,0.75,-32.16701309973447,469.2445710863144,-13.447013099734468,470.53457108631443
45.0,-45.0,-75.0,0.75,-30.681685135024065,468.6002319463198,-12.593531787111024,469.7702319463199
60.0,-45.0,-75.0,0.75,-27.981897126574538,467.3940766739565,-12.419999999999998,468.3940766739565
75.0,-45.0,-75.0,0.75,-24.205065498672354,465.41940463866683,-14.830413889500784,466.27940463866685
75.0,-30.0,-75.0,0.75,-26.757557986579965,466.0140766739565,-14.132442013420029,466.9940766739565
60.0,-30.0,-75.0,0.75,-29.642986900265523,467.6599999999999,-13.367013099734468,468.77999999999986
45.0,-30.0,-75.0,0.75,-31.48,468.52145318870424,-13.970544886845497,469.78145318870406
30.0,-30.0,-75.0,0.75,-32.374026199468936,468.8414027142166,-14.782442013420031,470.18140271421663
15.0,-30.0,-75.0,0.75,-32.79108977369099,468.86727556577245,-15.36272443422748,470.25727556577255
0.0,-30.0,-75.0,0.75,-32.73760846106754,468.8560242750186,-15.4794551131545,470.2460242750186
-15.0,-30.0,-75.0,0.75,-32.75999999999999,468.70701309973447,-15.085973800531056,470.08701309973446
-30.0,-30.0,-75.0,0.75,-32.869455113154494,468.4610392992033,-14.306468212888976,469.8210392992034
-45.0,-30.0,-75.0,0.75,-33.36869823475853,467.90999999999997,-13.445711334493009,469.28999999999996
-60.0,-30.0,-75.0,0.75,-34.68353178711102,466.8389607007966,-13.187013099734472,468.30896070079655
-75.0,-30.0,-75.0,0.75,-36.60239153893245,464.930827307653,-14.36787092710559,466.58729552054183
-75.0,-15.0,-75.0,0.75,-34.49298690026553,465.6654289136855,-14.611634660536486,467.16542891368556
-60.0,-15.0,-75.0,0.75,-33.413794253149064,467.11841581395106,-14.171897126574535,468.518415813951
-45.0,-15.0,-75.0,0.75,-32.77108977369099,467.8612512907538,-14.582442013420028,469.23125129075385
-30.0,-15.0,-75.0,0.75,-32.46646821288898,468.1135317871109,-15.21293642577795,469.483531787111
-15.0,-15.0,-75.0,0.75,-32.40706357422205,468.1570130997344,-15.789999999999997,469.5370130997345
0.0,-15.0,-75.0,0.75,-32.562442013420025,468.2818971265745,-16.119999999999997,469.6818971265744
15.0,-15.0,-75.0,0.75,-32.59,468.3450654986724,-16.1,469.7450654986723
30.0,-15.0,-75.0,0.75,-32.38999999999999,468.3210897736909,-15.782986900265529,469.70108977369097
45.0,-15.0,-75.0,0.75,-31.86651868737655,468.14542891368546,-15.230544886845497,469.4689607007966
60.0,-15.0,-75.0,0.75,-30.75054488684549,467.5985468112958,-14.731089773690993,468.8385468112957
75.0,-15.0,-75.0,0.75,-28.946518687376557,466.30919264711633,-14.89701309973447,467.4391926471164
75.0,0.0,-75.0,0.75,-30.74108977369099,466.3671140487096,-15.981897126574534,467.64711404870957
60.0,0.0,-75.0,0.75,-31.699999999999996,467.47,-16.027013099734468,468.80999999999995
45.0,0.0,-75.0,0.75,-32.199091698141295,467.95194760106216,-16.237013099734465,469.3319476010621
30.0,0.0,-75.0,0.75,-32.36592332604348,468.0729869002655,-16.376518687376553,469.47298690026554
15.0,0.0,-75.0,0.75,-32.47940463866693,468.08054488684553,-16.4394551131545,469.4905448868455
0.0,0.0,-75.0,0.75,-32.52,467.91103929920337,-16.34,469.3210392992034
