Fecha procesado,2026-05-11 13:01:00
Fecha y Hora,2026-05-08 17:32:21
Medidor,VGM_GAUSSMETER
Firmware,AL-PRG-0VGM-01 4.01
Muestras por punto,5
T estabilizacion (s),3
Velocidad (mm/min),1000
Eje rapido,Z
Sigma (automatico),1.0
Archivo origen,Measurement_Parallelepiped_170x170x170_5_R2.csv

X,Y,Z,T_robot (C),x axis (gauss),y axis (gauss),z axis (gauss),Magnitude (gauss)
-85.0,-85.0,-85.0,24.0,457.93298690026546,24.539999999999996,47.537013099734466,461.04728575911065
-85.0,-85.0,-80.0,24.1,460.182371584163,26.271089773690992,49.559999999999995,463.58837223847837
-85.0,-85.0,-75.0,25.1,461.5954289136855,27.417013099734476,52.02651868737656,465.326542599977
-85.0,-85.0,-70.0,24.4,462.3971140487096,28.015923326043477,54.52407667395651,466.44277031328676
-85.0,-85.0,-65.0,25.3,462.6969626252469,28.137557986579964,56.740544886845484,467.0114461403847
-85.0,-85.0,-60.0,24.0,462.58805239893786,27.939999999999998,58.532986900265534,467.1128989630977
-85.0,-85.0,-55.0,24.3,462.0953279647104,27.48054488684549,59.78999999999999,466.75702091569144
-85.0,-85.0,-50.0,24.3,461.48493450132764,26.939999999999998,60.52701309973447,466.2162885254762
-85.0,-85.0,-45.0,25.8,460.85179617759934,26.36701309973447,60.78407667395651,465.5902720171745
-85.0,-85.0,-40.0,24.4,460.24125129075384,25.86402619946894,60.67706357422205,464.94372055649467
-85.0,-85.0,-35.0,23.8,459.72973753396195,25.507013099734472,60.38348131262344,464.3793751941913
-85.0,-85.0,-30.0,24.6,459.3685167629262,25.26597380053106,59.93244201342002,463.95010640235
-85.0,-85.0,-25.0,23.8,459.1810392992034,25.136518687376554,59.48999999999999,463.700476087331
-85.0,-85.0,-20.0,24.3,459.1318466520869,25.14701309973447,59.16108977369098,463.61024516419434
-85.0,-85.0,-15.0,24.2,459.2388092773338,25.2094551131545,58.960544886845504,463.6940224187921
-85.0,-85.0,-10.0,23.7,459.24651868737647,25.253531787111022,58.91298690026552,463.698011446791
-85.0,-85.0,-5.0,24.3,459.28212907289435,25.33,58.94005047448756,463.74088943683404
-85.0,-85.0,0.0,23.7,459.44275495394555,25.409455113154504,58.83864776027096,463.89144415377604
-85.0,-85.0,5.0,23.6,459.4767811534146,25.489999999999995,58.92999999999999,463.9411572808591
-85.0,-85.0,10.0,23.7,459.47706357422203,25.536468212888973,59.08348131262345,463.9635124916578
-85.0,-85.0,15.0,24.2,459.4695560621296,25.540544886845492,59.26348131262345,463.97925880187694
-85.0,-85.0,20.0,23.7,459.4624220586506,25.5,59.451039299203416,463.993958320318
-85.0,-85.0,25.0,24.6,459.3827244342275,25.4494551131545,59.638910226309,463.9363769819646
-85.0,-85.0,30.0,24.0,459.28430862027636,25.317557986579967,59.78407667395651,463.85039690719964
