x,y,z,B
-85.0,-85.0,-85.0,45.952503
-80.0,-85.0,-85.0,45.86272
-75.0,-85.0,-85.0,45.788055
-70.0,-85.0,-85.0,45.755306
-65.0,-85.0,-85.0,45.720703
-60.0,-85.0,-85.0,45.71206
-55.0,-85.0,-85.0,45.707214
-50.0,-85.0,-85.0,45.71273
-45.0,-85.0,-85.0,45.71141
-40.0,-85.0,-85.0,45.711388
-35.0,-85.0,-85.0,45.706875
-30.0,-85.0,-85.0,45.676758
-25.0,-85.0,-85.0,45.67789
-20.0,-85.0,-85.0,45.65085
-15.0,-85.0,-85.0,45.63888
-10.0,-85.0,-85.0,45.636
-5.0,-85.0,-85.0,45.622513
0.0,-85.0,-85.0,45.61765
5.0,-85.0,-85.0,45.613117
10.0,-85.0,-85.0,45.605614
15.0,-85.0,-85.0,45.586132
20.0,-85.0,-85.0,45.596897
25.0,-85.0,-85.0,45.59346
30.0,-85.0,-85.0,45.58405
35.0,-85.0,-85.0,45.57388
40.0,-85.0,-85.0,45.560947
45.0,-85.0,-85.0,45.54592
50.0,-85.0,-85.0,45.536034
55.0,-85.0,-85.0,45.53358
60.0,-85.0,-85.0,45.515705
65.0,-85.0,-85.0,45.51816
70.0,-85.0,-85.0,45.516632
75.0,-85.0,-85.0,45.49908
80.0,-85.0,-85.0,45.54342
85.0,-85.0,-85.0,45.3328
-85.0,-80.0,-85.0,45.957954
-80.0,-80.0,-85.0,45.85634
-75.0,-80.0,-85.0,45.79531
-70.0,-80.0,-85.0,45.77204
-65.0,-80.0,-85.0,45.75355
-60.0,-80.0,-85.0,45.751568
-55.0,-80.0,-85.0,45.731216
-50.0,-80.0,-85.0,45.748615
-45.0,-80.0,-85.0,45.74044
-40.0,-80.0,-85.0,45.740982
-35.0,-80.0,-85.0,45.743584
-30.0,-80.0,-85.0,45.715206
-25.0,-80.0,-85.0,45.7212
-20.0,-80.0,-85.0,45.68562
-15.0,-80.0,-85.0,45.668736
-10.0,-80.0,-85.0,45.680782
-5.0,-80.0,-85.0,45.66897
0.0,-80.0,-85.0,45.655693
5.0,-80.0,-85.0,45.659008
10.0,-80.0,-85.0,45.64745
15.0,-80.0,-85.0,45.626236
20.0,-80.0,-85.0,45.644012
25.0,-80.0,-85.0,45.622387
30.0,-80.0,-85.0,45.624176
35.0,-80.0,-85.0,45.620205
40.0,-80.0,-85.0,45.60375
45.0,-80.0,-85.0,45.600677
50.0,-80.0,-85.0,45.576878
55.0,-80.0,-85.0,45.580463
60.0,-80.0,-85.0,45.56513
65.0,-80.0,-85.0,45.563515
70.0,-80.0,-85.0,45.556293
75.0,-80.0,-85.0,45.538765
80.0,-80.0,-85.0,45.519512
85.0,-80.0,-85.0,45.524834
-85.0,-75.0,-85.0,45.93553
-80.0,-75.0,-85.0,45.848625
-75.0,-75.0,-85.0,45.808372
-70.0,-75.0,-85.0,45.780037
-65.0,-75.0,-85.0,45.76963
-60.0,-75.0,-85.0,45.789665
-55.0,-75.0,-85.0,45.76805
-50.0,-75.0,-85.0,45.80811
-45.0,-75.0,-85.0,45.77853
-40.0,-75.0,-85.0,45.78696
-35.0,-75.0,-85.0,45.78167
-30.0,-75.0,-85.0,45.762573
-25.0,-75.0,-85.0,45.76239
-20.0,-75.0,-85.0,45.721832
-15.0,-75.0,-85.0,45.706757
-10.0,-75.0,-85.0,45.704163
-5.0,-75.0,-85.0,45.69887
0.0,-75.0,-85.0,45.6997
5.0,-75.0,-85.0,45.68367
10.0,-75.0,-85.0,45.68005
15.0,-75.0,-85.0,45.666622
20.0,-75.0,-85.0,45.672108
25.0,-75.0,-85.0,45.65591
30.0,-75.0,-85.0,45.6569
35.0,-75.0,-85.0,45.65674
40.0,-75.0,-85.0,45.64719
45.0,-75.0,-85.0,45.64389
50.0,-75.0,-85.0,45.63156
55.0,-75.0,-85.0,45.617355
60.0,-75.0,-85.0,45.610737
65.0,-75.0,-85.0,45.60721
70.0,-75.0,-85.0,45.587463
75.0,-75.0,-85.0,45.584
80.0,-75.0,-85.0,45.610153
85.0,-75.0,-85.0,45.501625
-85.0,-70.0,-85.0,45.925568
-80.0,-70.0,-85.0,45.85404
-75.0,-70.0,-85.0,45.830803
-70.0,-70.0,-85.0,45.808155
-65.0,-70.0,-85.0,45.82006
-60.0,-70.0,-85.0,45.819622
-55.0,-70.0,-85.0,45.81219
-50.0,-70.0,-85.0,45.8419
-45.0,-70.0,-85.0,45.820885
-40.0,-70.0,-85.0,45.82629
-35.0,-70.0,-85.0,45.808838
-30.0,-70.0,-85.0,45.793716
-25.0,-70.0,-85.0,45.782288
-20.0,-70.0,-85.0,45.758316
-15.0,-70.0,-85.0,45.7462
-10.0,-70.0,-85.0,45.739273
-5.0,-70.0,-85.0,45.730736
0.0,-70.0,-85.0,45.72726
5.0,-70.0,-85.0,45.718773
10.0,-70.0,-85.0,45.709297
15.0,-70.0,-85.0,45.691166
20.0,-70.0,-85.0,45.711094
25.0,-70.0,-85.0,45.700905
30.0,-70.0,-85.0,45.69436
35.0,-70.0,-85.0,45.706738
40.0,-70.0,-85.0,45.677757
45.0,-70.0,-85.0,45.683983
50.0,-70.0,-85.0,45.67017
55.0,-70.0,-85.0,45.671757
60.0,-70.0,-85.0,45.649845
65.0,-70.0,-85.0,45.632988
70.0,-70.0,-85.0,45.64136
75.0,-70.0,-85.0,45.618004
80.0,-70.0,-85.0,45.58712
85.0,-70.0,-85.0,45.57546
-85.0,-65.0,-85.0,45.93027
-80.0,-65.0,-85.0,45.873608
-75.0,-65.0,-85.0,45.85514
-70.0,-65.0,-85.0,45.8337
-65.0,-65.0,-85.0,45.845146
-60.0,-65.0,-85.0,45.84418
-55.0,-65.0,-85.0,45.85422
-50.0,-65.0,-85.0,45.860897
-45.0,-65.0,-85.0,45.85082
-40.0,-65.0,-85.0,45.857838
-35.0,-65.0,-85.0,45.844677
-30.0,-65.0,-85.0,45.826405
-25.0,-65.0,-85.0,45.818558
-20.0,-65.0,-85.0,45.788258
-15.0,-65.0,-85.0,45.768074
-10.0,-65.0,-85.0,45.763733
-5.0,-65.0,-85.0,45.755806
0.0,-65.0,-85.0,45.754723
