Fecha procesado,2026-06-02 14:10:08
Fecha y Hora,2026-06-01 16:23:35
Medidor,VGM_GAUSSMETER
Firmware,AL-PRG-0VGM-01 4.01
Muestras por punto,5
T estabilizacion (s),3
Velocidad (mm/min),1000
Radio maximo (mm),100
Paso radial (mm),100
Resol theta (deg),3
Resol phi (deg),3
Sentido cascarones,adentro_afuera
Sigma (automatico),1.0
Archivo origen,Measurement_Spherical_100_100_6_6.csv

X,Y,Z,T_robot (C),radio,theta_deg,phi_deg,x axis (gauss),y axis (gauss),z axis (gauss),Magnitude (gauss)
0.0,0.0,100.0,24.5,100.0,0.0,0.0,457.7824924879076,36.95755798657997,53.86999999999999,462.42042387936607
5.2336,0.0,99.863,25.1,100.0,3.0,0.0,457.75272443422745,36.84542891368556,53.87701309973446,462.38282288525835
5.2264,0.2739,99.863,25.3,100.0,3.0,3.0,457.7565186873764,36.793531787111014,53.8905448868455,462.3840235241229
5.2049,0.5471,99.863,24.3,100.0,3.0,6.0,457.7485972857833,36.68402619946894,53.91457108631443,462.3702813446457
5.1692,0.8187,99.863,23.6,100.0,3.0,8.999999999999998,457.69000000000005,36.75999999999999,53.92999999999999,462.3201040404798
5.1192,1.0881,99.863,24.7,100.0,3.0,12.0,457.6877904042484,36.85,53.92298690026552,462.3242633708179
5.0553,1.3546,99.863,25.5,100.0,3.0,14.999999999999996,457.63641773840135,36.893531787111016,53.95646821288897,462.28078479444895
4.9774,1.6173,99.863,23.7,100.0,3.0,17.999999999999996,457.69802187921965,36.86999999999999,53.948052398937875,462.3389108541365
4.886,1.8756,99.863,24.1,100.0,3.0,20.999999999999996,457.6646720352895,36.84054488684549,53.919999999999995,462.30027490444866
4.7811,2.1287,99.863,24.2,100.0,3.0,24.0,457.77872875447673,36.809949525512415,53.91547938817313,462.4102245861266
4.6632,2.376,99.863,24.5,100.0,3.0,26.999999999999993,457.6678709271056,36.79701309973446,53.923531787111024,462.3003866885765
4.5324,2.6168,99.863,24.2,100.0,3.0,29.999999999999993,457.6457418542111,36.73298690026552,53.930544886845496,462.2742054621893
4.3893,2.8504,99.863,25.4,100.0,3.0,32.99999999999999,457.6977699781304,36.69701309973448,53.939455113154494,462.32389537130746
4.2341,3.0762,99.863,24.6,100.0,3.0,35.99999999999999,457.6543086202763,36.75651868737655,53.935115973159924,462.28509017678346
4.0673,3.2936,99.863,23.6,100.0,3.0,38.99999999999999,457.66782045261795,36.703481312623445,53.936468212888975,462.2944105454833
3.8893,3.502,99.863,23.4,100.0,3.0,41.99999999999999,457.71701309973446,36.75402619946894,53.90999999999999,462.34403924222244
3.7007,3.7007,99.863,25.0,100.0,3.0,45.0,457.709172692347,36.76945511315451,53.907013099734456,462.33715582609835
3.502,3.8893,99.863,24.0,100.0,3.0,48.0,457.6538952021242,36.71353178711102,53.883531787111025,462.2752493999789
3.2936,4.0673,99.863,24.2,100.0,3.0,51.0,457.6629869002656,36.752986900265526,53.88999999999999,462.2881392860558
3.0762,4.2341,99.863,23.8,100.0,3.0,53.999999999999986,457.7461047978758,36.68836533946351,53.932986900265526,462.3703057992522
2.8504,4.3893,99.863,24.2,100.0,3.0,57.0,457.70571133449295,36.66108977369098,53.94,462.3289708547463
2.6168,4.5324,99.863,24.2,100.0,3.0,59.999999999999986,457.7296870594744,36.73298690026552,53.94348131262345,462.35881944470873
2.376,4.6632,99.863,24.9,100.0,3.0,63.0,457.745973800531,36.66701309973447,53.96,462.3716340566887
2.1287,4.7811,99.863,24.6,100.0,3.0,65.99999999999999,457.7717457031117,36.717013099734466,53.978910226309004,462.403322830038
1.8756,4.886,99.863,23.6,100.0,3.0,69.0,457.7534813126234,36.71054488684549,53.98244201342003,462.3851401217903
1.6173,4.9774,99.863,24.2,100.0,3.0,71.99999999999999,457.7179214015932,36.692986900265524,53.97597380053105,462.3477875015449
1.3546,5.0553,99.863,23.8,100.0,3.0,75.0,457.7980523989379,36.75999999999999,53.994026199468934,462.4345459040551
1.0881,5.1192,99.863,23.4,100.0,3.0,77.99999999999999,457.74836533946353,36.74701309973447,54.008910226309,462.3860630755825
0.8187,5.1692,99.863,25.0,100.0,3.0,80.99999999999999,457.7294551131545,36.68760846106754,54.00999999999999,462.36275238472433
0.5471,5.2049,99.863,25.2,100.0,3.0,83.99999999999999,457.6721290728944,36.682986900265526,54.00298690026552,462.30481487022325
0.2739,5.2264,99.863,23.5,100.0,3.0,86.99999999999999,457.77080735288354,36.69592332604348,54.0094551131545,462.40428641490934
0.0,5.2336,99.863,23.8,100.0,3.0,90.0,457.7127244342274,36.76511597315993,54.01103929920341,462.35246752634833
-0.2739,5.2264,99.863,22.8,100.0,3.0,93.0,457.7418971265746,36.69,54.0205448868455,462.37649135191475
-0.5471,5.2049,99.863,24.7,100.0,3.0,96.0,457.7940261994689,36.71999999999999,54.012986900265524,462.4295963471718
-0.8187,5.1692,99.863,23.8,100.0,3.0,98.99999999999999,457.813198891816,36.73353178711102,54.00750751209238,462.449011572931
-1.0881,5.1192,99.863,23.4,100.0,3.0,102.0,457.73516644764754,36.72054488684549,53.97999999999999,462.36751769522306
-1.3546,5.0553,99.863,23.9,100.0,3.0,104.99999999999999,457.7729364257778,36.80244201342003,53.976468212888975,462.4110078520702
-1.6173,4.9774,99.863,25.1,100.0,3.0,107.99999999999997,457.79651868737653,36.867013099734464,53.97244201342002,462.43902697984896
-1.8756,4.886,99.863,24.0,100.0,3.0,110.99999999999999,457.73901117528413,36.79,53.96701309973447,462.3753290938367
-2.1287,4.7811,99.863,23.7,100.0,3.0,114.0,457.76688210238973,36.87402619946894,53.98792140159317,462.41205414128956
-2.376,4.6632,99.863,23.5,100.0,3.0,116.99999999999999,457.78999999999996,36.77701309973447,54.00999999999999,462.4297923928972
-2.6168,4.5324,99.863,24.4,100.0,3.0,119.99999999999997,457.7738142079184,36.8594551131545,54.0,462.41916526643274
-2.8504,4.3893,99.863,21.8,100.0,3.0,122.99999999999999,457.815973800531,36.887013099734475,53.999999999999986,462.4630986385276
-3.0762,4.2341,99.863,23.5,100.0,3.0,126.0,457.8270130997344,36.862986900265525,53.986518687376545,462.47053736104743
-3.2936,4.0673,99.863,23.4,100.0,3.0,129.0,457.75646821288893,36.90158418604891,53.97597380053106,462.40254849415925
-3.502,3.8893,99.863,22.9,100.0,3.0,131.99999999999997,457.73308784924063,36.811089773690995,53.999999999999986,462.37499504441996
-3.7007,3.7007,99.863,24.9,100.0,3.0,135.0,457.7229869002654,36.881089773690995,53.989404638666926,462.36933649738637
-3.8893,3.502,99.863,24.2,100.0,3.0,138.0,457.83397572498137,36.893531787111016,53.99353178711102,462.48068445148624
-4.0673,3.2936,99.863,23.4,100.0,3.0,141.0,457.82651868737656,36.82,53.98244201342003,462.4661475817825
-4.2341,3.0762,99.863,23.6,100.0,3.0,143.99999999999997,457.83750751209243,36.947557986579966,53.981584186048906,462.4870990171428
-4.3893,2.8504,99.863,22.1,100.0,3.0,147.0,457.8356608600055,36.81701309973447,53.99646821288897,462.4765976654056
-4.5324,2.6168,99.863,24.2,100.0,3.0,150.0,457.80077683316534,36.801584186048906,53.97597380053105,462.43844305525477
-4.6632,2.376,99.863,22.7,100.0,3.0,152.99999999999997,457.83792140159306,36.87891022630901,53.99701309973447,462.4838307622271
-4.7811,2.1287,99.863,22.4,100.0,3.0,155.99999999999997,457.79262348525236,36.84054488684549,54.0094551131545,462.43738290355543
-4.886,1.8756,99.863,23.6,100.0,3.0,159.0,457.79184665208686,36.889455113154504,54.01950558764207,462.44168685749617
-4.9774,1.6173,99.863,23.0,100.0,3.0,161.99999999999997,457.7770130997344,36.843531787111026,54.050544886845486,462.42696824431334
-5.0553,1.3546,99.863,24.1,100.0,3.0,164.99999999999997,457.785146492878,36.8805448868455,54.07298690026551,462.440593863658
-5.1192,1.0881,99.863,24.3,100.0,3.0,167.99999999999997,457.72228049635703,36.90755798657996,54.05407667395651,462.37830518352877
-5.1692,0.8187,99.863,22.7,100.0,3.0,170.99999999999997,457.814288665507,36.829455113154495,54.06348131262344,462.46425989677994
-5.2049,0.5471,99.863,23.4,100.0,3.0,173.99999999999997,457.7647830778648,36.755428913685556,54.047275565772516,462.4074676916844
-5.2264,0.2739,99.863,22.6,100.0,3.0,176.99999999999997,457.7757418542111,36.76701309973447,54.016468212888974,462.41563762554944
-5.2336,0.0,99.863,24.9,100.0,3.0,180.0,457.7623915389324,36.762986900265524,54.02298690026553,462.4028626932344
-5.2264,-0.2739,99.863,23.5,100.0,3.0,182.99999999999997,457.7002824208075,36.85701309973447,54.00353178711102,462.3465901120095
-5.2049,-0.5471,99.863,24.4,100.0,3.0,186.0,457.7232493663035,36.79597380053105,54.00407667395651,462.3645282629099
-5.1692,-0.8187,99.863,22.0,100.0,3.0,188.99999999999997,457.72488402684,36.85646821288898,53.977013099734464,462.367804512469
-5.1192,-1.0881,99.863,23.8,100.0,3.0,192.0,457.7742687107375,36.88239153893245,54.025378439197986,462.4244083250582
-5.0553,-1.3546,99.863,23.2,100.0,3.0,194.99999999999997,457.7442381910194,36.773531787111025,54.043531787111014,462.3881308654006
-4.9774,-1.6173,99.863,23.7,100.0,3.0,197.99999999999997,457.7110392992034,36.79963658498679,54.04633721554426,462.35767033278506
-4.886,-1.8756,99.863,23.3,100.0,3.0,200.99999999999997,457.7123915389324,36.85646821288898,54.055428913685546,462.3645985717972
-4.7811,-2.1287,99.863,23.7,100.0,3.0,204.0,457.73841581395106,36.80537843919799,54.068365339463504,462.387804039423
-4.6632,-2.376,99.863,22.2,100.0,3.0,207.0,457.7279214015931,36.78701309973447,54.05701309973446,462.3746262812092
-4.5324,-2.6168,99.863,23.3,100.0,3.0,209.99999999999997,457.72537843919787,36.796518687376555,54.08755798657996,462.37643731462896
-4.3893,-2.8504,99.863,23.8,100.0,3.0,212.99999999999997,457.67784040738746,36.7594551131545,54.12348131262345,462.330633172391
-4.2341,-3.0762,99.863,22.7,100.0,3.0,215.99999999999994,457.69000000000005,36.867013099734464,54.09597380053105,462.3480151750668
-4.0673,-3.2936,99.863,21.9,100.0,3.0,219.0,457.7019476010621,36.89,54.06999999999999,462.3586376805406
-3.8893,-3.502,99.863,23.6,100.0,3.0,221.99999999999997,457.7110392992034,36.92135223972904,54.09592332604347,462.37317252200546
-3.7007,-3.7007,99.863,23.4,100.0,3.0,224.99999999999997,457.7379214015932,36.8094551131545,54.06,462.38666100437894
-3.502,-3.8893,99.863,23.4,100.0,3.0,228.0,457.66561038551794,36.85244201342003,54.043531787111014,462.31657631965317
-3.2936,-4.0673,99.863,23.1,100.0,3.0,231.0,457.7,36.80402619946894,54.012986900265524,462.3431940651657
-3.0762,-4.2341,99.863,24.1,100.0,3.0,233.99999999999997,457.72488402684,36.750544886845496,54.012986900265524,462.3635742148731
-2.8504,-4.3893,99.863,22.8,100.0,3.0,236.99999999999997,457.68516644764753,36.78293642577794,54.006518687376555,462.32607546951493
-2.6168,-4.5324,99.863,20.8,100.0,3.0,239.99999999999994,457.66363273608613,36.78701309973447,53.99353178711102,462.3035653516388
-2.376,-4.6632,99.863,23.5,100.0,3.0,242.99999999999997,457.704026199469,36.750544886845496,53.9994551131545,462.3413450051832
-2.1287,-4.7811,99.863,23.0,100.0,3.0,245.99999999999997,457.7020785984069,36.82999999999999,53.99298690026553,462.34498406245797
-1.8756,-4.886,99.863,23.3,100.0,3.0,249.0,457.70537843919794,36.793531787111014,53.9894551131545,462.3449347586214
-1.6173,-4.9774,99.863,23.2,100.0,3.0,252.0,457.70958658184776,36.78402619946894,53.992442013420025,462.34869311693933
-1.3546,-5.0553,99.863,24.5,100.0,3.0,254.99999999999997,457.635973800531,36.7805448868455,53.989999999999995,462.2752568530286
-1.0881,-5.1192,99.863,23.5,100.0,3.0,258.0,457.62478307786483,36.75348131262344,54.00999999999999,462.2643622167517
-0.8187,-5.1692,99.863,23.7,100.0,3.0,260.99999999999994,457.63945511315444,36.808910226309,54.018910226309,462.28433827067016
-0.5471,-5.2049,99.863,23.4,100.0,3.0,263.99999999999994,457.60259343688267,36.80244201342003,54.008960700796585,462.2461693668129
-0.2739,-5.2264,99.863,24.7,100.0,3.0,266.99999999999994,457.5931383237283,36.757013099734465,54.015923326043485,462.23400808003925
0.0,-5.2336,99.863,23.9,100.0,3.0,270.0,457.59891022630893,36.79999999999999,54.019999999999996,462.2436187123685
0.2739,-5.2264,99.863,21.7,100.0,3.0,273.0,457.56098882471576,36.75810287342546,54.006518687376555,462.20116906151907
0.5471,-5.2049,99.863,23.1,100.0,3.0,276.0,457.57592332604344,36.76353178711102,54.010544886845494,462.2168558546054
0.8187,-5.1692,99.863,25.0,100.0,3.0,278.99999999999994,457.6129869002655,36.83701309973447,54.04,462.26283964200775
1.0881,-5.1192,99.863,23.0,100.0,3.0,282.0,457.61566086000545,36.86,54.04755798657996,462.26820265799404
1.3546,-5.0553,99.863,23.4,100.0,3.0,284.99999999999994,457.64343083813577,36.866468212888975,54.045428913685555,462.29596002372307
1.6173,-4.9774,99.863,23.9,100.0,3.0,287.99999999999994,457.59732604026004,36.818415813951084,54.071897126574534,462.24958474952894
1.8756,-4.886,99.863,23.8,100.0,3.0,291.0,457.60452061182673,36.866518687376555,54.04,462.2568107497243
2.1287,-4.7811,99.863,23.6,100.0,3.0,294.0,457.5219170813439,36.83755798657996,54.029455113154505,462.17149664169807
2.376,-4.6632,99.863,25.4,100.0,3.0,296.99999999999994,457.67189712657455,36.79999999999999,54.02298690026553,462.31622136051436
2.6168,-4.5324,99.863,22.4,100.0,3.0,300.0,457.66745703760483,36.911352239729034,54.029455113154505,462.3214587008239
2.8504,-4.3893,99.863,23.4,100.0,3.0,303.0,457.66,36.79,54.029999999999994,462.3044674237964
3.0762,-4.2341,99.863,23.9,100.0,3.0,305.99999999999994,457.6050654986723,36.77,54.02701309973447,462.24814441436433
3.2936,-4.0673,99.863,24.2,100.0,3.0,309.0,457.61392525049365,36.80054488684549,54.0494551131545,462.26196932601107
3.502,-3.8893,99.863,22.1,100.0,3.0,311.99999999999994,457.6091926471164,36.8805448868455,54.0594551131545,462.26482937103003
3.7007,-3.7007,99.863,22.3,100.0,3.0,314.99999999999994,457.60836533946343,36.77701309973447,54.08,462.2581650130086
3.8893,-3.502,99.863,24.4,100.0,3.0,318.0,457.5751159731599,36.84701309973447,54.09353178711102,462.2324083331089
4.0673,-3.2936,99.863,24.0,100.0,3.0,321.0,457.60516644764743,36.84353178711103,54.12,462.26497660338384
4.2341,-3.0762,99.863,23.0,100.0,3.0,323.99999999999994,457.59210911812494,36.77810287342547,54.11755798657997,462.24655462271767
4.3893,-2.8504,99.863,23.1,100.0,3.0,327.0,457.5826234852522,36.752986900265526,54.10108977369098,462.2332390432758
4.5324,-2.6168,99.863,23.1,100.0,3.0,329.99999999999994,457.5689607007966,36.72592332604347,54.126468212888966,462.2205337305543
4.6632,-2.376,99.863,23.4,100.0,3.0,332.99999999999994,457.61054488684545,36.721089773690984,54.11945511315451,462.26049436172656
4.7811,-2.1287,99.863,25.1,100.0,3.0,335.99999999999994,457.6693541641793,36.79,54.119455113154494,462.32419065283807
4.886,-1.8756,99.863,23.9,100.0,3.0,339.0,457.5804439378703,36.86755798657997,54.0905448868455,462.23897126100064
4.9774,-1.6173,99.863,24.0,100.0,3.0,341.99999999999994,457.4976084610675,36.8094551131545,54.10651868737655,462.1542092178659
5.0553,-1.3546,99.863,23.5,100.0,3.0,345.0,457.61673067892684,36.7705448868455,54.098365339463506,462.2680805560201
5.1192,-1.0881,99.863,23.2,100.0,3.0,347.99999999999994,457.5650150241847,36.723531787111014,54.08457108631444,462.2115333811911
5.1692,-0.8187,99.863,23.4,100.0,3.0,351.0,457.51755798657985,36.75999999999999,54.08755798657996,462.1678022049514
5.2049,-0.5471,99.863,23.4,100.0,3.0,353.99999999999994,457.525973800531,36.735973800531056,54.08701309973447,462.1741592292329
5.2264,-0.2739,99.863,22.9,100.0,3.0,356.99999999999994,457.6071440970791,36.71,54.08,462.25162934129816
10.4385,-0.5471,99.4522,24.2,100.0,6.0,356.99999999999994,457.54402619946893,36.81298690026553,54.056468212888966,462.19458420776687
10.3956,-1.0926,99.4522,22.3,100.0,6.0,353.99999999999994,457.5712512907538,36.869455113154494,54.03462156080201,462.2234817221494
10.3242,-1.6352,99.4522,24.2,100.0,6.0,351.0,457.47906164977167,36.796518687376555,54.06945511315449,462.1304811540778
10.2244,-2.1733,99.4522,24.0,100.0,6.0,347.99999999999994,457.57766902915523,36.79999999999999,54.09592332604347,462.23147027723275
10.0967,-2.7054,99.4522,22.8,100.0,6.0,345.0,457.5546720352896,36.77651868737656,54.12701309973447,462.210475622506
9.9412,-3.2301,99.4522,23.1,100.0,6.0,341.99999999999994,457.48462156080205,36.853481312623444,54.12348131262343,462.1468481758672
9.7586,-3.746,99.4522,23.0,100.0,6.0,339.0,457.4942886655069,36.85891022630901,54.10999999999999,462.15527209437874
9.5492,-4.2516,99.4522,23.3,100.0,6.0,335.99999999999994,457.465973800531,36.83701309973447,54.08701309973447,462.12280587028914
9.3136,-4.7455,99.4522,22.9,100.0,6.0,332.99999999999994,457.4091421726289,36.80054488684549,54.0905448868455,462.0640545348933
9.0524,-5.2264,99.4522,23.1,100.0,6.0,329.99999999999994,457.4340766739565,36.739999999999995,54.09646821288897,462.08461343747774
8.7665,-5.693,99.4522,23.8,100.0,6.0,327.0,457.47254296239515,36.84054488684549,54.0994551131545,462.13104673412755
8.4565,-6.144,99.4522,23.3,100.0,6.0,323.99999999999994,457.4881838676312,36.772442013420026,54.10298690026552,462.1415195171974
8.1234,-6.5782,99.4522,22.9,100.0,6.0,321.0,457.43249248790755,36.76651868737655,54.11945511315451,462.08784608755246
7.768,-6.9943,99.4522,22.6,100.0,6.0,318.0,457.46298690026543,36.73244201342003,54.1294551131545,462.1164946102105
7.3913,-7.3913,99.4522,22.4,100.0,6.0,314.99999999999994,457.50755798657997,36.78,54.11402619946893,462.1625924351306
