Fecha procesado,2026-05-27 18:28:17
Fecha y Hora,2026-05-27 12:47:21
Medidor,VGM_GAUSSMETER
Firmware,AL-PRG-0VGM-01 4.01
Muestras por punto,5
T estabilizacion (s),3
Velocidad (mm/min),1000
Radio maximo (mm),85
Paso radial (mm),85
Resol theta (deg),4
Resol phi (deg),4
Sentido cascarones,adentro_afuera
Sigma (automatico),1.0
Archivo origen,Measurement_Spherical_85_85_4_4_R2.csv

X,Y,Z,T_robot (C),radio,theta_deg,phi_deg,x axis (gauss),y axis (gauss),z axis (gauss),Magnitude (gauss)
0.0,0.0,85.0,20.1,84.99999999999999,0.0,0.0,458.61587285155593,35.82755798657996,59.15646821288897,463.80127260939986
5.9293,0.0,84.7929,21.5,84.99999999999999,4.0,0.0,458.5702824208075,35.84701309973447,59.15646821288897,463.75769535296575
5.9149,0.4136,84.7929,21.3,84.99999999999999,4.0,4.0,458.5641271484441,35.83592332604348,59.15,463.7499268011203
5.8716,0.8252,84.7929,21.8,84.99999999999999,4.0,8.0,458.57402619946896,35.81810287342547,59.15298690026553,463.75871944090227
5.7997,1.2328,84.7929,21.5,84.99999999999999,4.0,12.0,458.540595361333,35.821039299203406,59.14646821288897,463.72505771508514
5.6996,1.6343,84.7929,21.4,84.99999999999999,4.0,16.0,458.54742698923513,35.89298690026552,59.12701309973447,463.7348951558064
5.5717,2.0279,84.7929,21.6,84.99999999999999,4.0,19.999999999999996,458.54800192445026,35.8,59.1305448868455,463.7287260969724
5.4167,2.4117,84.7929,21.7,84.99999999999999,4.0,24.0,458.5573459950295,35.71646821288897,59.14,463.732730425196
5.2353,2.7836,84.7929,21.2,84.99999999999999,4.0,28.0,458.56898065556595,35.727013099734464,59.14108977369099,463.7451864808229
5.0283,3.1421,84.7929,22.4,84.99999999999999,4.0,32.0,458.55571133449297,35.78597380053105,59.175973800531054,463.7410615780926
4.7969,3.4852,84.7929,20.1,84.99999999999999,4.0,35.99999999999999,458.5164177384013,35.767557986579966,59.18646821288896,463.7021258949486
